,adjClose,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
572,117.83,1.08,0.0081087,0.81087,134.27,2021-07-15,134.28,"July 15, 21",132.7,133.19,3807126,3807126,133.75
573,116.53,-2.01,-0.0149,-1.49,132.79,2021-07-16,134.8,"July 16, 21",132.5,134.8,4298328,4298328,133.36
574,115.71,1.4,0.0107,1.07,131.85,2021-07-19,132.4,"July 19, 21",130.22,130.45,8977086,8977086,131.49
575,117.43,-2.9,-0.0212,-2.12,133.81,2021-07-20,138.55,"July 20, 21",132.6,136.71,14237838,14237838,134.99
576,118.54,1.28,0.0095658,0.95658,135.09,2021-07-21,135.17,"July 21, 21",133.51,133.81,5024984,5024984,134.59
577,118.05,-0.91,-0.0067193,-0.67193,134.52,2021-07-22,135.57,"July 22, 21",134.24,135.43,3466653,3466653,134.78
578,118.57,0.36,0.0026714,0.26714,135.12,2021-07-23,135.47,"July 23, 21",134.16,134.76,4680013,4680013,134.92
579,119.77,1.32,0.0097655,0.97655,136.49,2021-07-26,136.71,"July 26, 21",134.92,135.17,4441630,4441630,136.04
580,119.76,0.21,0.0015412,0.15412,136.47,2021-07-27,137.32,"July 27, 21",135.37,136.26,3281302,3281302,136.39
581,118.94,-1.18,-0.0086308,-0.86308,135.54,2021-07-28,136.81,"July 28, 21",135.41,136.72,2660815,2660815,135.92
582,119.07,-0.38,-0.0027927,-0.27927,135.69,2021-07-29,136.67,"July 29, 21",135.37,136.07,2793761,2793761,135.91
583,118.26,-0.54,-0.0039911,-0.39911,134.76,2021-07-30,135.61,"July 30, 21",134.6,135.3,3698238,3698238,134.99
584,118.64,-0.03,-0.0002218443,-0.02218443,135.2,2021-08-02,136.77,"August 02, 21",134.83,135.23,3064257,3064257,135.6
585,120.86,2.07,0.0153,1.53,137.73,2021-08-03,138.34,"August 03, 21",135.42,135.66,4272596,4272596,137.16
586,119.77,-1.0,-0.0072738,-0.72738,136.48,2021-08-04,137.84,"August 04, 21",136.2,137.48,2960285,2960285,136.84
587,119.77,-0.25,-0.0018283,-0.18283,136.49,2021-08-05,137.1,"August 05, 21",135.97,136.74,2884240,2884240,136.52
588,120.88,1.04,0.0076073,0.76073,137.75,2021-08-06,138.04,"August 06, 21",136.61,136.71,4002833,4002833,137.47
589,119.86,-0.91,-0.0066936,-0.66936,135.04,2021-08-09,136.23,"August 09, 21",134.77,135.95,5129689,5129689,135.35
590,119.97,0.16,0.0011852,0.11852,135.16,2021-08-10,135.57,"August 10, 21",134.17,135.0,5543695,5543695,134.97
591,120.61,0.34,0.0025085,0.25085,135.88,2021-08-11,136.49,"August 11, 21",135.28,135.54,4455960,4455960,135.88
592,121.41,0.78,0.0057353,0.57353,136.78,2021-08-12,136.85,"August 12, 21",135.83,136.0,2184780,2184780,136.49
593,121.5,0.51,0.0037398,0.37398,136.88,2021-08-13,137.27,"August 13, 21",136.18,136.37,1997965,1997965,136.78
594,121.85,0.35,0.0025561,0.25561,137.28,2021-08-16,137.42,"August 16, 21",135.98,136.93,2913319,2913319,136.89
595,120.86,-0.55,-0.0040231,-0.40231,136.16,2021-08-17,136.86,"August 17, 21",134.89,136.71,3215195,3215195,135.97
596,118.35,-2.1,-0.0155,-1.55,133.34,2021-08-18,135.68,"August 18, 21",133.26,135.44,3672192,3672192,134.09
597,117.12,-0.64,-0.0048269,-0.48269,131.95,2021-08-19,133.32,"August 19, 21",131.18,132.59,4351465,4351465,132.15
598,118.05,1.31,0.0099484,0.99484,132.99,2021-08-20,133.25,"August 20, 21",131.23,131.68,2780059,2780059,132.49
599,118.48,0.0,0.0,0.0,133.48,2021-08-23,133.99,"August 23, 21",132.7,133.48,3179422,3179422,133.39
600,118.67,0.06,0.000449001,0.0449001,133.69,2021-08-24,134.06,"August 24, 21",133.19,133.63,2474418,2474418,133.65
601,118.68,-0.06,-0.0004485311,-0.04485311,133.71,2021-08-25,134.61,"August 25, 21",133.33,133.77,2105389,2105389,133.88
602,117.77,-1.13,-0.0084448,-0.84448,132.68,2021-08-26,134.61,"August 26, 21",132.61,133.81,2613640,2613640,133.3
603,118.3,0.67,0.0050524,0.50524,133.28,2021-08-27,133.45,"August 27, 21",132.31,132.61,2572637,2572637,133.01
604,117.93,-0.51,-0.0038239,-0.38239,132.86,2021-08-30,133.73,"August 30, 21",132.72,133.37,2087293,2087293,133.1
605,119.09,0.77,0.0057721,0.57721,134.17,2021-08-31,134.74,"August 31, 21",132.84,133.4,4429915,4429915,133.92
606,118.21,-0.65,-0.0048573,-0.48573,133.17,2021-09-01,133.91,"September 01, 21",133.07,133.82,2588327,2588327,133.38
607,118.81,0.27,0.0020213,0.20213,133.85,2021-09-02,133.89,"September 02, 21",132.92,133.58,2840413,2840413,133.55
608,118.45,-0.1,-0.0007488393,-0.07488393,133.44,2021-09-03,134.29,"September 03, 21",133.17,133.54,2009575,2009575,133.64
609,117.16,-1.52,-0.0114,-1.14,131.99,2021-09-07,133.64,"September 07, 21",131.7,133.51,3436110,3436110,132.44
610,117.67,0.5,0.0037859,0.37859,132.57,2021-09-08,132.97,"September 08, 21",131.55,132.07,3122728,3122728,132.36
611,116.88,-0.11,-0.0008346612,-0.08346612,131.68,2021-09-09,132.85,"September 09, 21",131.51,131.79,3669682,3669682,132.01
612,116.27,-1.73,-0.013,-1.3,130.99,2021-09-10,133.24,"September 10, 21",130.98,132.72,4157955,4157955,131.74
613,117.23,-0.24,-0.0018139,-0.18139,132.07,2021-09-13,132.88,"September 13, 21",131.46,132.31,4334729,4334729,132.14
614,115.59,-2.08,-0.0157,-1.57,130.23,2021-09-14,132.48,"September 14, 21",129.39,132.31,4659198,4659198,130.7
615,116.43,0.94,0.007218,0.7218,131.17,2021-09-15,131.74,"September 15, 21",129.7,130.23,3403579,3403579,130.87
616,115.77,-0.81,-0.0061719,-0.61719,130.43,2021-09-16,131.88,"September 16, 21",129.74,131.24,2765624,2765624,130.69
617,114.75,-0.5,-0.0038527,-0.38527,129.28,2021-09-17,129.94,"September 17, 21",129.11,129.78,5890340,5890340,129.45
618,113.97,0.39,0.0030466,0.30466,128.4,2021-09-20,129.24,"September 20, 21",126.94,128.01,4990152,4990152,128.19
619,112.84,-2.05,-0.0159,-1.59,127.12,2021-09-21,129.68,"September 21, 21",127.09,129.17,4261927,4261927,127.97
620,114.25,0.87,0.0068054,0.68054,128.71,2021-09-22,129.42,"September 22, 21",127.6,127.84,3767901,3767901,128.58
